Time_sec,Y_S,phase
7567.52,0.00435922,
7567.8,0.00435899,
7568.06,0.00435912,
7568.31,0.00435866,
7568.59,0.00435768,
7568.87,0.00435758,
7569.15,0.00435679,
7569.42,0.0043559,
7569.68,0.00435599,
7569.93,0.00435547,
7570.21,0.00435589,
7570.48,0.00435564,
7570.75,0.00435603,
7571.02,0.00435613,
7571.29,0.00435499,
7571.55,0.00435458,
7571.81,0.00435465,
7572.07,0.00435349,
7572.33,0.00435439,
7572.6,0.00435284,
7572.88,0.00435244,
7573.15,0.00435307,
7573.41,0.00435312,
7573.66,0.00435235,
7573.93,0.00435316,
7574.19,0.00435192,
7574.47,0.00435198,
7574.75,0.0043525,
7575.01,0.00435194,
7575.29,0.00435182,
7575.55,0.00435146,
7575.82,0.00435147,
7576.09,0.00435062,
7576.35,0.00435069,
7576.61,0.00434967,
7576.88,0.00434953,
7577.14,0.00434885,
7577.41,0.00435023,
7577.68,0.00434909,
7577.95,0.00435002,
7578.22,0.00434899,
7578.48,0.00434948,
7578.76,0.00435027,
7579.03,0.00434975,
7579.3,0.00435026,
7579.56,0.00435031,
7579.85,0.00434967,
7580.12,0.00435004,
7580.38,0.00434929,
7580.65,0.00434929,
7580.91,0.00434857,
7581.18,0.0043486,
7581.45,0.00434876,
7581.7,0.00434824,
7581.98,0.00434799,
7582.24,0.00434753,
7582.51,0.00434739,
7582.77,0.00434681,
7583.05,0.0043469,
7583.32,0.00434663,
7583.6,0.00434719,
7583.85,0.00434713,
7584.11,0.00434645,
7584.37,0.00434733,
7584.65,0.00434735,
7584.9,0.00434869,
7585.18,0.00434782,
7585.44,0.00434832,
7585.71,0.00434912,
7585.98,0.00434869,
7586.26,0.00435055,
7586.53,0.00435026,
7586.8,0.00435028,
7587.08,0.00435131,
7587.35,0.00435139,
7587.63,0.00435142,
7587.89,0.00435127,
7588.15,0.00435167,
7588.42,0.00435215,
7588.7,0.00435241,
7588.98,0.00435153,
7589.24,0.00435257,
7589.51,0.0043512,
7589.78,0.00435137,
7590.03,0.00435221,
7590.29,0.00435183,
7590.55,0.00435236,
7590.81,0.00435264,
7591.08,0.00435288,
7591.35,0.00435291,
7591.61,0.00435321,
7591.88,0.00435346,
7592.15,0.0043539,
7592.44,0.00435435,
7592.72,0.0043538,
7592.98,0.00435471,
7593.25,0.0043551,
7593.52,0.00435432,
7593.78,0.00435328,
7594.05,0.00435296,
7594.31,0.00435224,
7594.58,0.00435189,
7594.85,0.00435204,
7595.12,0.00435141,
7595.38,0.00435205,
7595.65,0.00435203,
7595.93,0.00435257,
7596.2,0.00435235,
7596.46,0.00435247,
7596.73,0.00435276,
7597,0.00435305,
7597.27,0.00435446,
7597.54,0.00435362,
7597.8,0.00435422,
7598.08,0.00435429,
7598.36,0.00435394,
7598.63,0.00435504,
7598.89,0.00435481,
7599.16,0.00435487,
7599.43,0.00435583,
7599.7,0.00435479,
7599.97,0.00435558,
7600.25,0.00435506,
7600.53,0.00435523,
7600.8,0.00435473,
7601.08,0.00435533,
7601.33,0.00435534,
7601.58,0.00435509,
7601.84,0.00435516,
7602.1,0.00435569,
7602.38,0.00435607,
7602.65,0.00435594,
7602.91,0.00435659,
7603.18,0.00435553,
7603.45,0.004356,
7603.72,0.00435533,
7603.98,0.00435369,
7604.25,0.00435215,
7604.52,0.00435232,
7604.77,0.00435277,
7605.03,0.0043526,
7605.3,0.0043754,
7605.56,0.00437173,
7605.82,0.00436642,
7606.08,0.00436304,
7606.34,0.00435864,
7606.61,0.00435245,
7606.88,0.0043491,
7607.15,0.00434713,
7607.41,0.00434422,
7607.68,0.00434301,
7607.97,0.00434301,
7608.23,0.00434313,
7608.5,0.00434283,
7608.76,0.00434424,
7609.03,0.00434388,
7609.3,0.00434384,
7609.57,0.00434386,
7609.83,0.00434431,
7610.1,0.00434336,
7610.36,0.00434307,
7610.65,0.00434339,
7610.91,0.00434284,
7611.17,0.00434282,
7611.43,0.00434123,
7611.7,0.00437358,
7611.98,0.0043718,
7612.24,0.00437038,
7612.51,0.0043683,
7612.78,0.00437013,
7613.06,0.00437339,
7613.33,0.00437466,
7613.6,0.00437307,
7613.86,0.00437157,
7614.13,0.0043701,
7614.4,0.00436948,
7614.67,0.00436908,
7614.93,0.00436878,
7615.21,0.00436814,
7615.47,0.00436863,
7615.71,0.00436808,
7615.97,0.00436859,
7616.24,0.00436823,
7616.49,0.0043683,
7616.74,0.00436812,
7617.01,0.00436762,
7617.28,0.00436683,
7617.56,0.0043671,
7617.82,0.00436699,
7618.06,0.00436685,
7618.31,0.00436649,
7618.57,0.00436601,
7618.81,0.00436589,
7619.12,0.00436552,
7619.38,0.00436487,
7619.62,0.00436394,
7619.88,0.00436348,
7620.13,0.00436318,
7620.38,0.00436252,
7620.64,0.00436277,
7620.9,0.00436258,
7621.15,0.00436177,
7621.4,0.00436114,
7621.65,0.00436033,
7621.9,0.00435973,
7622.16,0.00435904,
7622.43,0.00435901,
7622.68,0.0043582,
